,home_team,away_team,home_goals_x,away_goals_x,date_x,round,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,season,Expected Goals (xG)_home,Expected Goals (xG)_away,Clearances Completed_home,Clearances Completed_away,home_goals_y,away_goals_y,date_y,referee,stadium,capacity,attendance,stadium name,stadium city,Stadium,Club,Location,Opened,Closed,Capacity,Pitch length m,Pitch width m,latitude,longitude,longitude_decimal,latitude_decimal,transformed_date,weather_temperature_[C],weather_precipitation_[mm],weather_wind_[km/h],weather_humidity_[%],weather_cloud_cover_[%],sum_of_goals
0,Arsenal,Everton,5,1,22.05.2022 17:00,38,74,26,26,6,9,2,8,3,9,1,8,9,12,2,2,0,12,13,1,4,8,9,0,1,647,234,583,151,12,21,136,55,89,25,0,0,21-22,-1.0,-1.0,0,0,5,1,22.05.2022 17:00,Marriner A. (Eng),Emirates Stadium (London),60 704,60 201,Emirates Stadium,London,Emirates Stadium,Arsenal,London,2006,,60704,105.0,68.0,51°33′18″N,000°06′31″W,-0.1086111111111111,51.555,2022-05-22T17:00,19.4,0.0,9.2,51,63,6
1,Brentford,Leeds,1,2,22.05.2022 17:00,38,49,51,14,14,5,6,7,6,2,2,15,9,3,2,0,2,19,20,4,4,11,13,4,1,412,438,318,317,12,10,105,109,31,46,1,0,21-22,-1.0,-1.0,0,0,1,2,22.05.2022 17:00,Tierney P. (Eng),Brentford Community Stadium (London),17 250,16 957,Brentford Community Stadium,London,Brentford Community Stadium,Brentford,London,2020,,17250,105.0,68.0,51°29′26.97″N,0°17′19.32″W,-0.2887,51.490825,2022-05-22T17:00,19.7,0.0,8.8,51,64,3
2,Brighton,West Ham,3,1,22.05.2022 17:00,38,50,50,18,7,7,2,4,2,7,3,8,8,5,6,0,0,13,20,1,4,9,9,1,1,489,480,399,377,12,14,100,88,54,62,0,0,21-22,-1.0,-1.0,0,0,3,1,22.05.2022 17:00,Friend K. (Eng),Amex Stadium (Brighton),31 876,31 604,Amex Stadium,Brighton,Falmer Stadium,Brighton,Falmer,2011,,31876,105.0,68.0,50°51′42.56″N,00°04′59.8″W,-0.0832777777777777,50.86182222222222,2022-05-22T17:00,14.7,0.0,12.2,76,40,4
3,Burnley,Newcastle,1,2,22.05.2022 17:00,38,51,49,12,8,5,6,4,2,3,0,9,11,8,2,5,0,35,22,4,4,8,9,1,0,344,338,238,240,11,22,116,80,57,31,0,0,21-22,-1.0,-1.0,0,0,1,2,22.05.2022 17:00,Pawson C. (Eng),Turf Moor (Burnley),22 546,21 361,Turf Moor,Burnley,Turf Moor,Burnley,Burnley,1883,,21744,105.0,68.0,53°47′21″N,2°13′49″W,-2.230277777777778,53.78916666666667,2022-05-22T17:00,14.5,0.2,16.0,88,100,3
4,Chelsea,Watford,2,1,22.05.2022 17:00,38,72,28,19,8,8,3,6,2,5,3,11,8,3,3,0,2,20,11,2,6,9,9,0,0,734,281,658,202,32,25,147,63,66,32,0,0,21-22,-1.0,-1.0,0,0,2,1,22.05.2022 17:00,Dean M. (Eng),Stamford Bridge (London),40 341,32 089,Stamford Bridge,London,Stamford Bridge,Chelsea,London,1877,,40173,103.0,67.5,51°28′54″N,000°11′28″W,-0.1911111111111111,51.48166666666667,2022-05-22T17:00,19.8,0.0,9.1,48,46,3
5,Crystal Palace,Manchester Utd,1,0,22.05.2022 17:00,38,38,62,6,10,3,4,3,2,0,4,22,11,3,6,2,4,22,27,4,2,12,22,2,4,327,526,233,426,8,17,89,113,40,45,0,0,21-22,-1.0,-1.0,0,0,1,0,22.05.2022 17:00,Atkinson M. (Eng),Selhurst Park (London),25 486,25 434,Selhurst Park,London,Selhurst Park,Crystal Palace,London,1924,,25486,101.0,68.0,51°23′54″N,000°05′08″W,-0.0855555555555555,51.39833333333333,2022-05-22T17:00,19.4,0.0,9.9,47,38,1
6,Leicester,Southampton,4,1,22.05.2022 17:00,38,51,49,12,7,6,2,4,5,2,0,8,9,3,3,1,3,19,21,1,2,10,5,0,1,448,425,350,326,20,17,83,105,31,45,0,0,21-22,-1.0,-1.0,0,0,4,1,22.05.2022 17:00,Moss J. (Eng),King Power Stadium (Leicester),32 261,32 003,King Power Stadium,Leicester,King Power StadiumFormerly Walkers Stadium,Leicester,Leicester,2002,,32262,105.0,68.0,52°37′13″N,001°08′32″W,-1.1422222222222222,52.62027777777778,2022-05-22T17:00,18.6,0.0,17.1,65,100,5
7,Liverpool,Wolves,3,1,22.05.2022 17:00,38,63,37,29,7,8,5,7,2,14,0,4,9,5,3,3,1,25,15,4,5,6,3,1,0,669,400,590,319,21,18,132,65,63,21,0,0,21-22,-1.0,-1.0,0,0,3,1,22.05.2022 17:00,Taylor A. (Eng),Anfield (Liverpool),61 276,53 097,Anfield,Liverpool,Anfield,Liverpool,Liverpool,1884,,61276,101.0,68.0,53°25′51″N,002°57′39″W,-2.960833333333333,53.43083333333333,2022-05-22T17:00,15.6,0.0,16.0,76,100,4
8,Manchester City,Aston Villa,3,2,22.05.2022 17:00,38,72,28,24,4,5,2,10,1,9,1,10,6,13,1,1,2,30,14,0,2,5,11,0,2,601,243,518,163,11,17,151,49,107,18,0,0,21-22,-1.0,-1.0,0,0,3,2,22.05.2022 17:00,Oliver M. (Eng),Etihad Stadium (Manchester),55 097,53 395,Etihad Stadium,Manchester,City of Manchester Stadium,Manchester City,Manchester,2003[17],,53400,105.0,68.0,53°28′59″N,002°12′01″W,-2.200277777777778,53.48305555555556,2022-05-22T17:00,16.3,0.1,13.2,76,100,5
9,Norwich,Tottenham,0,5,22.05.2022 17:00,38,40,60,9,19,0,13,5,4,4,2,11,12,3,2,0,4,17,16,8,0,13,7,3,1,402,614,307,537,14,8,78,104,35,39,0,0,21-22,-1.0,-1.0,0,0,0,5,22.05.2022 17:00,Kavanagh C. (Eng),Carrow Road (Norwich),27 137,27 022,Carrow Road,Norwich,Carrow Road,Norwich,Norwich,1935,,27359,105.0,68.0,52°37′20″N,001°18′33″E,1.3091666666666668,52.62222222222222,2022-05-22T17:00,17.7,0.0,17.3,51,34,5
